fid,id,N37W123,X,Y
"1","1",,5960973.2209000001,2134644.4723999999
"2","1",,5961973.2209000001,2134644.4723999999
"3","1",,5962973.2209000001,2134644.4723999999
"4","1",,5963973.2209000001,2134644.4723999999
"5","1",,5964973.2209000001,2134644.4723999999
"6","1",,5965973.2209000001,2134644.4723999999
"7","1",,5966973.2209000001,2134644.4723999999
"8","1",,5967973.2209000001,2134644.4723999999
"9","1",,5968973.2209000001,2134644.4723999999
"10","1",,5969973.2209000001,2134644.4723999999
"11","1",,5970973.2209000001,2134644.4723999999
"12","1",,5971973.2209000001,2134644.4723999999
"13","1",,5972973.2209000001,2134644.4723999999
"14","1",,5973973.2209000001,2134644.4723999999
"15","1",,5974973.2209000001,2134644.4723999999
"16","1",,5975973.2209000001,2134644.4723999999
"17","1",,5976973.2209000001,2134644.4723999999
"18","1",,5977973.2209000001,2134644.4723999999
"19","1",,5978973.2209000001,2134644.4723999999
"20","1",,5979973.2209000001,2134644.4723999999
"21","1",,5980973.2209000001,2134644.4723999999
"22","1",,5981973.2209000001,2134644.4723999999
"23","1",,5982973.2209000001,2134644.4723999999
"24","1",,5983973.2209000001,2134644.4723999999
"25","1",,5984973.2209000001,2134644.4723999999
"26","1",,5985973.2209000001,2134644.4723999999
"27","1",,5986973.2209000001,2134644.4723999999
"28","1",,5987973.2209000001,2134644.4723999999
"29","1",,5988973.2209000001,2134644.4723999999
"30","1",,5989973.2209000001,2134644.4723999999
"31","1",,5990973.2209000001,2134644.4723999999
"32","1",,5991973.2209000001,2134644.4723999999
"33","1",,5992973.2209000001,2134644.4723999999
"34","1",,5993973.2209000001,2134644.4723999999
"35","1",,5994973.2209000001,2134644.4723999999
"36","1",,5995973.2209000001,2134644.4723999999
"37","1",,5996973.2209000001,2134644.4723999999
"38","1",,5997973.2209000001,2134644.4723999999
"39","1",,5998973.2209000001,2134644.4723999999
"40","1",,5999973.2209000001,2134644.4723999999
"41","1",,6000973.2209000001,2134644.4723999999
"42","1",,6001973.2209000001,2134644.4723999999
"43","1",,6002973.2209000001,2134644.4723999999
"44","1",,6003973.2209000001,2134644.4723999999
"45","1",,6004973.2209000001,2134644.4723999999
"46","1",,6005973.2209000001,2134644.4723999999
"47","1",,6006973.2209000001,2134644.4723999999
"48","1",,6007973.2209000001,2134644.4723999999
"49","1",,6008973.2209000001,2134644.4723999999
"50","1",,6009973.2209000001,2134644.4723999999
"51","1",,6010973.2209000001,2134644.4723999999
"52","1",,6011973.2209000001,2134644.4723999999
"53","1",,6012973.2209000001,2134644.4723999999
"54","1",,6013973.2209000001,2134644.4723999999
"55","1",,6014973.2209000001,2134644.4723999999
"56","1",,6015973.2209000001,2134644.4723999999
"57","1",,6016973.2209000001,2134644.4723999999
"58","1",,6017973.2209000001,2134644.4723999999
"59","1",,6018973.2209000001,2134644.4723999999
"60","1",,6019973.2209000001,2134644.4723999999
"61","1",,6020973.2209000001,2134644.4723999999
"62","1",,6021973.2209000001,2134644.4723999999
"63","1",,6022973.2209000001,2134644.4723999999
"64","1",,6023973.2209000001,2134644.4723999999
"65","1",,6024973.2209000001,2134644.4723999999
"66","1",,6025973.2209000001,2134644.4723999999
"67","1",,6026973.2209000001,2134644.4723999999
"68","1",,6027973.2209000001,2134644.4723999999
"69","1",,6028973.2209000001,2134644.4723999999
"70","1",,6029973.2209000001,2134644.4723999999
"71","1",,6030973.2209000001,2134644.4723999999
"72","1",,6031973.2209000001,2134644.4723999999
"73","1",,6032973.2209000001,2134644.4723999999
"74","1",,6033973.2209000001,2134644.4723999999
"75","1",,6034973.2209000001,2134644.4723999999
"76","1",,6035973.2209000001,2134644.4723999999
"77","1",,6036973.2209000001,2134644.4723999999
"78","1",,6037973.2209000001,2134644.4723999999
"79","1",,6038973.2209000001,2134644.4723999999
"80","1",,6039973.2209000001,2134644.4723999999
"81","1",,6040973.2209000001,2134644.4723999999
"82","1",,6041973.2209000001,2134644.4723999999
"83","1",,6042973.2209000001,2134644.4723999999
"84","1",,6043973.2209000001,2134644.4723999999
"85","1",,6044973.2209000001,2134644.4723999999
"86","1",,6045973.2209000001,2134644.4723999999
"87","1",,6046973.2209000001,2134644.4723999999
"88","1",,6047973.2209000001,2134644.4723999999
"89","1",,6048973.2209000001,2134644.4723999999
"90","1",,6049973.2209000001,2134644.4723999999
"91","1",,6050973.2209000001,2134644.4723999999
"92","1",,6051973.2209000001,2134644.4723999999
"93","1",,6052973.2209000001,2134644.4723999999
"94","1",,6053973.2209000001,2134644.4723999999
"95","1",,6054973.2209000001,2134644.4723999999
"96","1",,6055973.2209000001,2134644.4723999999
"97","1",,6056973.2209000001,2134644.4723999999
"98","1",,6057973.2209000001,2134644.4723999999
"99","1",,6058973.2209000001,2134644.4723999999
"100","1",,6059973.2209000001,2134644.4723999999
"101","1",,6060973.2209000001,2134644.4723999999
"102","1",,6061973.2209000001,2134644.4723999999
"103","1",,6062973.2209000001,2134644.4723999999
"104","1",,6063973.2209000001,2134644.4723999999
"105","1",,6064973.2209000001,2134644.4723999999
"106","1",,6065973.2209000001,2134644.4723999999
"107","1",,6066973.2209000001,2134644.4723999999
"108","1",,6067973.2209000001,2134644.4723999999
"109","1",,6068973.2209000001,2134644.4723999999
"110","1",,6069973.2209000001,2134644.4723999999
"111","1",,6070973.2209000001,2134644.4723999999
"112","1",,6071973.2209000001,2134644.4723999999
"113","1",,6072973.2209000001,2134644.4723999999
"114","1",,6073973.2209000001,2134644.4723999999
"115","1",,6074973.2209000001,2134644.4723999999
"116","1",,6075973.2209000001,2134644.4723999999
"117","1",,6076973.2209000001,2134644.4723999999
"118","1",,6077973.2209000001,2134644.4723999999
"119","1",,6078973.2209000001,2134644.4723999999
"120","1",,6079973.2209000001,2134644.4723999999
"121","1",,6080973.2209000001,2134644.4723999999
"122","1",,6081973.2209000001,2134644.4723999999
"123","1",,6082973.2209000001,2134644.4723999999
"124","1",,6083973.2209000001,2134644.4723999999
"125","1",,6084973.2209000001,2134644.4723999999
"126","1",,6085973.2209000001,2134644.4723999999
"127","1",,6086973.2209000001,2134644.4723999999
"128","1",,6087973.2209000001,2134644.4723999999
"129","1",,6088973.2209000001,2134644.4723999999
"130","1",,6089973.2209000001,2134644.4723999999
"131","1",,6090973.2209000001,2134644.4723999999
"132","1",,6091973.2209000001,2134644.4723999999
